Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
    class13       0.33      0.31      0.32        13
    class14       0.18      0.15      0.16        27
    class15       0.71      0.85      0.77        26
    class16       0.27      0.21      0.23        34
    class17       0.48      0.60      0.53        48
    class18       0.18      0.18      0.18        38
    class19       0.30      0.27      0.29        48
    class20       0.38      0.41      0.39        22
    class21       0.39      0.36      0.37        47
    class22       0.20      0.23      0.21        43
    class23       0.51      0.41      0.46        44
    class24       0.29      0.35      0.32        48
    class25       0.34      0.29      0.31        35
    class26       0.37      0.47      0.41        15
    class27       0.41      0.32      0.36        34
    class28       0.59      0.74      0.66        35
    class29       0.25      0.28      0.26        18

avg / total       0.38      0.39      0.38       951
Cross_val3, PCA_comp:100MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.45      0.55      0.49        40
     class2       0.46      0.35      0.40        31
     class3       0.38      0.35      0.36        40
     class4       0.62      0.53      0.57        15
     class5       0.43      0.40      0.41        30
     class6       0.65      0.72      0.69        47
     class7       0.19      0.16      0.17        25
     class8       0.62      0.67      0.64        24
     class9       0.19      0.18      0.19        28
    class10       0.42      0.42      0.42        38
    class11       0.38      0.33      0.35        33
    class12       0.25      0.20      0.22        25
    class13       0.67      0.15      0.25        13
    class14       0.12      0.11      0.12        27
    class15       0.76      0.85      0.80        26
    class16       0.31      0.26      0.29        34
    class17       0.67      0.62      0.65        48
    class18       0.20      0.24      0.22        38
    class19       0.28      0.33      0.30        48
    class20       0.26      0.32      0.29        22
    class21       0.34      0.40      0.37        47
    class22       0.12      0.14      0.13        43
    class23       0.52      0.36      0.43        44
    class24       0.33      0.31      0.32        48
    class25       0.45      0.43      0.44        35
    class26       0.30      0.47      0.37        15
    class27       0.33      0.29      0.31        34
    class28       0.49      0.60      0.54        35
    class29       0.21      0.22      0.22        18

avg / total       0.39      0.39      0.39       951
Cross_val3, PCA_comp:200MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.46      0.55      0.50        40
     class2       0.30      0.23      0.26        31
     class3       0.37      0.38      0.37        40
     class4       0.44      0.53      0.48        15
     class5       0.23      0.27      0.25        30
     class6       0.66      0.74      0.70        47
     class7       0.18      0.12      0.14        25
     class8       0.39      0.58      0.47        24
     class9       0.22      0.25      0.23        28
    class10       0.38      0.39      0.38        38
    class11       0.36      0.48      0.41        33
    class12       0.31      0.16      0.21        25
    class13       0.33      0.23      0.27        13
    class14       0.19      0.19      0.19        27
    class15       0.63      0.85      0.72        26
    class16       0.29      0.29      0.29        34
    class17       0.63      0.65      0.64        48
    class18       0.20      0.18      0.19        38
    class19       0.30      0.31      0.31        48
    class20       0.41      0.41      0.41        22
    class21       0.44      0.38      0.41        47
    class22       0.12      0.14      0.13        43
    class23       0.52      0.52      0.52        44
    class24       0.44      0.33      0.38        48
    class25       0.25      0.26      0.25        35
    class26       0.38      0.33      0.36        15
    class27       0.25      0.18      0.21        34
    class28       0.63      0.54      0.58        35
    class29       0.40      0.33      0.36        18

avg / total       0.38      0.38      0.38       951
Cross_val3, PCA_comp:400MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.47      0.60      0.53        40
     class2       0.34      0.32      0.33        31
     class3       0.33      0.33      0.33        40
     class4       0.47      0.47      0.47        15
     class5       0.34      0.33      0.34        30
     class6       0.73      0.81      0.77        47
     class7       0.18      0.16      0.17        25
